geometry,objectid,pop_id,location,geo_address,description,image_,image_alt_text,longitude,latitude,status,thumb_url,image_url,photo_credit,ward,ward_and_num,globalid
"{""type"":""Point"",""coordinates"":[-79.39699385,43.69846571000005]}",13,13,1910 Yonge Street,1910 Yonge St,A 200 m2 landscaped forecourt at Yonge Street near Davisville Avenue.,1910yongestreet.jpg,"Image of plaza forecourt entrance to retail with stairs, raised planters with perennials and trees. ",-79.39699385,43.69846571,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2539.JPG,/ext/pln/pops/1910yongestreet.jpg,,Toronto-St. Paul's,Toronto-St. Paul's (12),62bf801a-e98e-4115-8703-bb3f2ba0ec57
"{""type"":""Point"",""coordinates"":[-79.37956515999997,43.648234590000015]}",14,14,199 Bay Street,199 Bay St,"A 1,600 m2 urban plaza / courtyard designed by the architect I.M. Pei, with a water feature and seating. ""Tembo, Mother of Elephants"" by the artist Derrick Stephan Hudson.",199baystreet.jpg,"Image of a plaza courtyard with water feature, public art of elephants, seating and raised planters with seasonal planting.",-79.37956516,43.64823459,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2362.JPG,/ext/pln/pops/199baystreet.jpg,,Toronto Centre,Toronto Centre (13),c17eddd7-ebfa-4b5c-aef7-625422f3d8a3
"{""type"":""Point"",""coordinates"":[-79.37885396999997,43.65274972000003]}",15,15,2 Queen Street East,2 Queen St E,A 550 m2 corner plaza with public art located at Queen Street East and Victoria Street.,2queenstreeteast.jpg,"Image of plaza forecourt with pavers, public art showing four human figures standing in a circle with trees and light pole. ",-79.37885397,43.65274972,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/DSC_0163.jpg,/ext/pln/pops/2queenstreeteast.jpg,,Toronto Centre,Toronto Centre (13),48a98e1d-9a92-4667-957e-4e667036fb14
"{""type"":""Point"",""coordinates"":[-79.38572364999999,43.647913870000025]}",16,16,200 King Street West,200 King St W,"An 825 m2 plaza with landscaping, public art and seating.",200kingstreetwest.jpg,"Image of plaza forecourt with textured paving, raised planters with perrenial and tree plantings.",-79.38572365,43.64791387,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/DSC_0106.jpg,/ext/pln/pops/200kingstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),44188f05-e0a2-4ec4-903f-fb09b133bc75
"{""type"":""Point"",""coordinates"":[-79.38784945999998,43.64586170000001]}",17,17,200 Wellington Street West,200 Wellington St W,Various open spaces adjacent to David Pecaut Square.,200wellingtonstreetwest.jpg,Image of concrete walkway with planting beds on both sides and bench located along the walkway.,-79.38784946,43.645861700000005,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1883.JPG,/ext/pln/pops/200wellingtonstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),7799130c-7d98-4da0-a402-1efd5a5f7957
"{""type"":""Point"",""coordinates"":[-79.38826502,43.646793650000006]}",18,18,225 King Street West,225 King St W,A 670 m2 landscaped open space at King Street West and John Street.,225kingstreetwest.jpg,Image of concrete and paver plaza with bench and raised planters for trees and perennial planting ,-79.38826501999999,43.64679365,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1865.JPG,/ext/pln/pops/225kingstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),3b5631ac-75c3-4cd2-9291-702e62543426
"{""type"":""Point"",""coordinates"":[-79.36644859999996,43.65194466000003]}",19,19,260 King Street East,260 King St E,"A mid-block pedestrian walkway located at King Street East, near Sherbourne Street.",260kingstreeteast.jpg,"Image of paver and concrete walkway entrance to building with trees, light poles with hanging planter baskets, bollards and accesible ramp.",-79.3664486,43.65194466,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/DSC_0209.jpg,/ext/pln/pops/260kingstreeteast.jpg,,Toronto Centre,Toronto Centre (13),7abb7788-cbed-402e-90db-936c9f248c67
"{""type"":""Point"",""coordinates"":[-79.38712628999997,43.642604180000035]}",20,20,301 Front Street West,301 Front St W,Pedestrian walkways with landscaping and seating that connect Front Street West with Bremner Boulevard.,301frontstreetwest.jpg,"Image of pedestrian bridge with concrete path, glass panels and metal railing with hanging seasonal planters.",-79.38712629,43.64260418,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1878.JPG,/ext/pln/pops/301frontstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),6fb1cd8a-c288-4d31-ac62-0f78047cf98d
"{""type"":""Point"",""coordinates"":[-79.39101941999996,43.64399515000002]}",21,21,320 Front Street West,320 Front St W,A landscaped plaza with seating located at Front Street and Blue Jays Way.,320frontstreetwest.jpg,"Image of concrete and paver plaza with seating, raised granite planters with a tree, shrubs and seasonal planting. ",-79.39101942,43.64399515,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1873.JPG,/ext/pln/pops/320frontstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),bb07c987-1e16-4e99-87b3-587559ac8410
"{""type"":""Point"",""coordinates"":[-79.3851429,43.66135772000001]}",22,22,40 College Street,40 College St,A 600 m2 pedestrian walkway and plaza with seating located at the Toronto Police headquarters on College Street.,40collegestreet.jpg,Image of concrete and paver forecourt with raised planters with shrubs and public art showing police officer building a structure of granite bricks.,-79.38514289999999,43.66135772,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1817.JPG,/ext/pln/pops/40collegestreet.jpg,,Toronto Centre,Toronto Centre (13),2c49535a-1ec9-421e-a7bf-69f9ea736c7a
"{""type"":""Point"",""coordinates"":[-79.3795662,43.649479050000025]}",23,23,40 King Street West,40 King St W,A plaza with landscaping and seating.,40kingstreetwest.jpg,Image of a forecourt for an office building.  There are planters on a tiled surface and the glass-paneled entrance to an office building.,-79.3795662,43.64947905,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2424.JPG,/ext/pln/pops/40kingstreetwest.jpg,,Toronto Centre,Toronto Centre (13),c53e8678-92d8-432e-a338-82170b650fe6
"{""type"":""Point"",""coordinates"":[-79.38403538,43.6606165]}",24,24,444 Yonge Street,444 Yonge St,"An 8,285 m2 plaza located at Bay Street and College Street.",444yongestreet.jpg,"Image of a paved concrete forecourt to a concrete-faced building.  There are planters, picnic tables, umbrellas and people visible in the foreground.",-79.38403538,43.6606165,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1854.JPG,/ext/pln/pops/444yongestreet.jpg,,University-Rosedale,University-Rosedale (11),ef873442-3f51-45c6-94c4-ff3e028d3f5d
"{""type"":""Point"",""coordinates"":[-79.394406,43.67121191000001]}",25,25,55 Avenue Road,55 Avenue Rd,A mid-block pedestrian connection at Hazelton Lanes.,55avenueroad.jpg,Image of a pedestrian walkway with a tiled surface between two former houses that are now used commercially.  There is a canopy over the entrance to the walkway.,-79.394406,43.67121191,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1663.JPG,/ext/pln/pops/55avenueroad.jpg,,University-Rosedale,University-Rosedale (11),94b2d02c-93f2-4399-a718-0ec2bd8611a2
"{""type"":""Point"",""coordinates"":[-79.38098432999999,43.64829464000002]}",26,26,55 King Street West,55 King St W,A modernist plaza located at the TD Centre.,55kingstreetwest.jpg,"Image of an Ontario Heritage Foundation plaque describing the creation of the Toronto-Dominion Centre.  Behind the sign you can see a plaza with a concrete surface, with benches and people in the distance.",-79.38098433,43.64829464,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2418.JPG,/ext/pln/pops/55kingstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),5f38f2f5-660b-42ac-9316-0e3cf39f4030
"{""type"":""Point"",""coordinates"":[-79.38344310999997,43.64685299000001]}",27,27,70 York Street,70 York St,A pedestrian walkway at Wellington Street West and York Street.,70yorkstreet.jpg,"Image of a tiled pedestrian walkway, with a concrete planter along the left side and the wall of a building along the right side.",-79.38344310999999,43.64685299,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/70York.JPG,/ext/pln/pops/70yorkstreet.jpg,,Spadina-Fort York,Spadina-Fort York (10),62357d3c-c6f0-485b-81ad-5b820a42f95f
"{""type"":""Point"",""coordinates"":[-79.38217805,43.649397910000005]}",28,28,77 Adelaide Street West,77 Adelaide St W,"A parkette located on King Street West, with landscaping, seating and water features.",77adelaidestreetwest.jpg,"Image of an area including a grassy patch, paved portion with fixed tables and chairs, and water feature with stairs to its left at the rear.  There are planters and trees on both sides of the grassed and paved areas.",-79.38217805,43.64939791,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/77adelaidew.jpg,/ext/pln/pops/77adelaidestreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),ae6524e4-b857-4d33-aee4-0c6b0bb13f69
"{""type"":""Point"",""coordinates"":[-79.38205942999997,43.64786736000002]}",29,29,77 King Street West,77 King St W,A parkette located at King Street and York Street with seating.,77kingstreetwest.jpg,Image of a plaza paved with tiles that includes concrete benches.  The lower floors of commercial towers and some construction fencing is visible.,-79.38205943,43.64786736,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2417.JPG,/ext/pln/pops/77kingstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),2003ce0c-7491-4432-a26a-d58192792268
"{""type"":""Point"",""coordinates"":[-79.38118794999997,43.64663558000001]}",30,30,79 Wellington Street West,79 Wellington St W,"A parkette located at King Street West and York Street, with art installation ""The Pasture"" by Canadian artist Joe Fafard.",79wellingtonstreetwest.jpg,Image of a parkette with grassed area and paved walkways.  There are built-in benches and an art installation featuring statues of bulls.  The lower levels of commercial towers are visible in the background.,-79.38118795,43.64663558,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2408.JPG,/ext/pln/pops/79wellingtonstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),5b88142e-c57a-4422-ba95-309b5dc827ef
"{""type"":""Point"",""coordinates"":[-79.39424324499998,43.689230432000045]}",31,31,"1501 Yonge Street, 25, 27, 29 Heath Street, 30 Alvin Avenue",1481 Yonge St,A parkette located near Yonge Street and St. Clair Avenue East with seating and water features.,1501yongestreet.jpg,"Image of a conceptual rendering of a plaza with paved pedestrian walkways, built-in benches, planters, trees and people.",-79.39424324,43.68923043,FUTURE,https://map.toronto.ca/emaps/images/planning/pops/thumbs/yongealvin.jpg,/ext/pln/pops/1501yongestreet.jpg,,Toronto-St. Paul's,Toronto-St. Paul's (12),cacee07f-7af2-469d-afd6-f3e87c4df8b4
"{""type"":""Point"",""coordinates"":[-79.3894386,43.64406174000004]}",32,32,300 Front Street West,300 Front St W,A 900 m2 parkette located at Front Street West and John Street with seating and public art.,300frontstreetwest.jpg,"Image of a conceptual rendering of a plaza with paved pedestrian walkways, grassed areas, and built-in benches.",-79.38943859999999,43.64406174,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/300front.jpg,/ext/pln/pops/300frontstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),47b2f565-86c4-4b6b-92b9-57c1e358d698
"{""type"":""Point"",""coordinates"":[-79.39075995999997,43.64760284000005]}",33,33,295 Adelaide Street West,295 Adelaide St W,An urban plaza located at Adelaide Street West and John Street with landscaping and seating.,295adelaidewest.jpg,"Image of a conceptual rendering of a building forecourt with a paved surface, tables, chairs, umbrellas, planters and trees.",-79.39075996,43.64760284,EXISTING,,/ext/pln/pops/295adelaidewest.jpg,,Spadina-Fort York,Spadina-Fort York (10),f804715a-206a-45a2-9fba-c546812547be
"{""type"":""Point"",""coordinates"":[-79.38889652999995,43.666366520000054]}",34,34,50 St. Joseph Street,50 St Joseph St,A privately-owned open space located at Bay Street and St. Joseph Street that expands Clover Hill Park.,50stjoseph.jpg,"Image of a conceptual rendering of an open space with grassed areas, trees, playground equipment, pedestrian walkways and people using the amenities.",-79.38889653,43.66636652,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/stjoseph.jpg,/ext/pln/pops/50stjoseph.jpg,,University-Rosedale,University-Rosedale (11),50fb59be-55de-4c35-bdc9-41392bd47fa7
"{""type"":""Point"",""coordinates"":[-79.38702487,43.64548712000004]}",35,35,155 and 181 Wellington Street West,181 Wellington St W,"A landscaped pedestrian walkway located on the east side of the Ritz Carlton Hotel, with planters and seat walls. The walkway connects to Simcoe Park to the south.",rbccentreritzcarlton.jpg,Image of a paved pedestrian walkway with concrete planters and trees between two commercial towers.,-79.38702487,43.645487120000006,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1895.JPG,/ext/pln/pops/rbccentreritzcarlton.jpg,,Spadina-Fort York,Spadina-Fort York (10),a3ed7c5a-65aa-4816-bbe7-22058f6576ea
"{""type"":""Point"",""coordinates"":[-79.37159906,43.65224877000003]}",36,36,"108-118 George Street, 234 Adelaide Street East",118 George St,"A mid-block pedestrian walkway connecting Jarvis Street to George Street, lined with two public art installations.",108georgestreet.jpg,"Image of a building forecourt with paved pedestrian walkway, concrete planters and trees. ",-79.37159906,43.65224877,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2329.JPG,/ext/pln/pops/108georgestreet.jpg,,Toronto Centre,Toronto Centre (13),89a0dd8d-e53b-4d15-825b-aab13f99f4db
"{""type"":""Point"",""coordinates"":[-79.39107071000001,43.639933740000004]}",37,37,11 Mariner Terrace,11 Mariner Ter,"A landscaped open space with seating, public art and a reflecting pool.",11marinerterrace.jpg,"Image of a grassed area with paved pedestrian walkways, water feature with statue, and residential towers and the Rogers Centre in the background.",-79.39107071000001,43.63993374,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2124.JPG,/ext/pln/pops/11marinerterrace.jpg,,Spadina-Fort York,Spadina-Fort York (10),d55d0afe-cc2e-4570-bacb-90eda88a44b1
"{""type"":""Point"",""coordinates"":[-79.38920556,43.67174259000001]}",38,38,48 Yorkville Avenue,50 Yorkville Ave,A landscaped open space with a public art and misting fountain located at Yorkville Avenue and Bay Streets.,fourseasons.jpg,Image of a plaza with paved pedestrian walkways and planters with shrubbery and trees.,-79.38920556000001,43.67174259,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1720.JPG,/ext/pln/pops/fourseasons.jpg,,University-Rosedale,University-Rosedale (11),198171f9-334a-4851-85c7-f461decaf20f
"{""type"":""Point"",""coordinates"":[-79.38584959999997,43.67018109000003]}",39,39,1-23 Bloor Street East,23 Bloor St E,"A publicly-accessible open space adjacent to the public sidewalk allowing for pedestrian movement. Located at the southeast corner of Yonge Street and Bloor Street East, along with a connection to the subway from Yonge Street.",1bloorstreeteast.jpg,"Image of a conceptual rendering of the corner of Bloor St. and Yonge St., with the proposed tower in the background.",-79.3858496,43.67018109,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/1blooreast.jpg,/ext/pln/pops/1bloorstreeteast.jpg,,University-Rosedale,University-Rosedale (11),c91ddd0e-9a30-411e-8b68-128bf2ddff8a
"{""type"":""Point"",""coordinates"":[-79.39016992,43.66857993000002]}",40,40,"1,3 Sultan Street",3 Sultan St,"A publicly-accessible pedestrian walkway with public art between Charles Street and St. Thomas Street, open to the public 24 hours a day, 365 days a year.",1sultanstreet.jpg,"Image of a driveway with planters flanking it, and a building on the right side and in the background.",-79.39016992,43.66857993,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1696.JPG,/ext/pln/pops/1sultanstreet.jpg,,University-Rosedale,University-Rosedale (11),dc677e99-5cf7-4f8b-905a-5f27432fde94
"{""type"":""Point"",""coordinates"":[-79.38165705,43.642351320000046]}",42,42,16 York Street,16 York St,"A publicly-accessible pedestrian walkway and courtyard, open 24 hours a day, 7 days a week.",16yorkstreet.jpg,"Image of a conceptual rendering of a plaza with water feature, planters, trees, and paved pedestrian areas.",-79.38165705,43.642351319999996,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/16york.jpg,/ext/pln/pops/16yorkstreet.jpg,,Spadina-Fort York,Spadina-Fort York (10),98d04063-ee43-4f77-b853-8855cd1c902f
"{""type"":""Point"",""coordinates"":[-79.3819277,43.661102380000045]}",43,43,21 Carlton Street,21 Carlton St,"A publicly-accessible pedestrian walkway, open at all times. The pedestrian walkway spans the width of the site, between Carlton Street and Granby Street.",21carltonstreet.jpg,"Image of a covered paved pedestrian walkway with concrete planters in front and tree sculptures along the sides, with a paved plaza beyond the covered portion.",-79.3819277,43.661102379999996,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1823.JPG,/ext/pln/pops/21carltonstreet.jpg,,Toronto Centre,Toronto Centre (13),28cff060-4e65-4116-bc52-ff65c22ddb43
"{""type"":""Point"",""coordinates"":[-79.40205939999998,43.63647469]}",44,44,21 Grand Magazine Street,21 Grand Magazine St,A publicly-accessible pedestrian walkway with public art which connects Fleet Street and Fort York Boulevard.,21grandmagazinestreet.jpg,Image of a sculpture adjacent to the entrance of a concrete tall building.,-79.4020594,43.63647469,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2212.JPG,/ext/pln/pops/21grandmagazinestreet.jpg,,Spadina-Fort York,Spadina-Fort York (10),786c7225-17a3-4c49-ab66-dc6a06135afe
"{""type"":""Point"",""coordinates"":[-79.40073581999997,43.63825521000001]}",45,45,24 Bathurst Street,24 Bathurst St,"A publicly-accessible pedestrian walkway which connects Bathurst Street and ""Street E"", open at all times.",24bathurststreet.jpg,Image of a conceptual rendering of a paved building forecourt with various textures of pavement.,-79.40073582,43.63825521,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/24bathurst.jpg,/ext/pln/pops/24bathurststreet.jpg,,Spadina-Fort York,Spadina-Fort York (10),e539065f-8223-4460-a21c-af6ccf11edca
"{""type"":""Point"",""coordinates"":[-79.40887113999997,43.76014303000005]}",46,46,27-49 Bales Avenue,31 Bales Ave,Publicly-accessible pedestrian walkways and landscaped open space.,27balesstreet.jpg,"Image of a plaza with grassed areas, pavilion with benches/pergolas, and shrubbery/trees around the exterior.",-79.40887114,43.76014303,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1978.JPG,/ext/pln/pops/27balesstreet.jpg,,Willowdale,Willowdale (18),0596d1b2-2bd6-4699-8811-93fd305ebd75
"{""type"":""Point"",""coordinates"":[-79.37502666,43.65473244000003]}",47,47,30 Mutual Street,30 Mutual St,"A publicly-accessible pedestrian walkway, open at all times, extending between Dalhousie and Mutual Streets.",,,-79.37502666,43.65473244,FUTURE,,,,Toronto Centre,Toronto Centre (13),6cbaa905-e55e-48d9-86c7-0526b5174c0d
"{""type"":""Point"",""coordinates"":[-79.37732857999998,43.64265075000003]}",48,48,33 Bay Street,33 Bay St,Publicly-accessible pedestrian connections as well as a pedestrian bridge.,30baystreet.jpg,"Image of a building forecourt with large water feature, wooden pedestrian walkway, planted garden area and trees with towers in the background.",-79.37732858000001,43.64265075,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2114.JPG,/ext/pln/pops/30baystreet.jpg,,Spadina-Fort York,Spadina-Fort York (10),86848649-a7cc-4973-8396-1c187aabacd8
"{""type"":""Point"",""coordinates"":[-79.39048467999999,43.65265198000003]}",50,50,"148,152,154 St. Patrick Street and 75 Mc Caul Street",75 Mc Caul St,"Two continuous publicly-accessible pedestrian walkways, connecting Mc Caul and St. Patrick Streets.",,,-79.39048468,43.65265198,EXISTING,,,,Spadina-Fort York,Spadina-Fort York (10),1e9240be-9fc9-4b18-a092-b68e37519094
"{""type"":""Point"",""coordinates"":[-79.35966192000001,43.650638670000035]}",51,51,55 Mill Street,55 Mill St,"A publicly-accessible open space, including a publicly-accessible bicycle path.",55millstreet.jpg,"Image of a wide pedestrian walkway (brick surface) with red-brick buildings framing it.  Planters, trees, sculptures and a large beam across the top of the image with 'Gooderham & Worts Limited' written on it.",-79.35966192,43.65063867,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2067.JPG,/ext/pln/pops/55millstreet.jpg,,Spadina-Fort York,Spadina-Fort York (10),08761717-ee1a-43d0-b431-03b4bda9ab38
"{""type"":""Point"",""coordinates"":[-79.37666347999999,43.653862900000036]}",52,52,"56 Queen Street East, 51 Bond Street",56 Queen St E,A publicly-accessible open space that is open and accessible to the public between 7:30am and dusk.,56queenstreeteast.jpg,"Image of a park, with gravel pedestrian paths, grassed areas, and mature trees.",-79.37666347999999,43.6538629,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/DSC_0175.jpg,/ext/pln/pops/56queenstreeteast.jpg,,Toronto Centre,Toronto Centre (13),db376cab-4cf9-481f-9b55-9b9f7c1fccae
"{""type"":""Point"",""coordinates"":[-79.39712412999995,43.668551130000026]}",53,53,1 Bedford Road,1 Bedford Rd,"A publicly-accessible courtyard, open and accessible 24 hours a day, 7 days a week, as well as a setback along Bedford Road.",1bedfordroad.jpg,"Image of a building forecourt with retained façade visible, paved walkways and construction fencing surrounding a large concrete planter.",-79.39712413,43.668551130000004,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1686.JPG,/ext/pln/pops/1bedfordroad.jpg,,University-Rosedale,University-Rosedale (11),29363fc6-9f8b-4c66-8d3c-c1abbc981894
